Division,Category,GeneSymbol,mouse
Matrisome-associated,ECM Regulators,F7,F7
Matrisome-associated,ECM Regulators,F9,F9
Matrisome-associated,ECM Regulators,FAM20A,Fam20a
Matrisome-associated,ECM Regulators,FAM20B,Fam20b
Matrisome-associated,ECM Regulators,FAM20C,Fam20c
Matrisome-associated,ECM Regulators,HABP2,Habp2
Matrisome-associated,ECM Regulators,HMSD,Hmsd
Matrisome-associated,ECM Regulators,HPSE,Hpse
Matrisome-associated,ECM Regulators,HPSE2,Hpse2
Matrisome-associated,ECM Regulators,HRG,Hrg
Matrisome-associated,ECM Regulators,HTRA1,Htra1
Matrisome-associated,ECM Regulators,HTRA3,Htra3
Matrisome-associated,ECM Regulators,HTRA4,Htra4
Matrisome-associated,ECM Regulators,HYAL1,Hyal1
Matrisome-associated,ECM Regulators,HYAL2,Hyal2
Matrisome-associated,ECM Regulators,HYAL3,Hyal3
Matrisome-associated,ECM Regulators,HYAL4,Hyal4
Matrisome-associated,ECM Regulators,ITIH1,Itih1
Matrisome-associated,ECM Regulators,ITIH2,Itih2
Matrisome-associated,ECM Regulators,ITIH3,Itih3
Matrisome-associated,ECM Regulators,ITIH4,Itih4
Matrisome-associated,ECM Regulators,ITIH5,Itih5
Matrisome-associated,ECM Regulators,ITIH6,Itih6
Matrisome-associated,ECM Regulators,KAZALD1,Kazald1
Matrisome-associated,ECM Regulators,KNG1,Kng1
Matrisome-associated,ECM Regulators,KY,Ky
Matrisome-associated,ECM Regulators,LEPRE1,Lepre1
Matrisome-associated,ECM Regulators,LEPREL1,Leprel1
Matrisome-associated,ECM Regulators,LEPREL2,Leprel2
Matrisome-associated,ECM Regulators,LOX,Lox
Matrisome-associated,ECM Regulators,LOXL1,Loxl1
Matrisome-associated,ECM Regulators,LOXL2,Loxl2
Matrisome-associated,ECM Regulators,LOXL3,Loxl3
Matrisome-associated,ECM Regulators,LOXL4,Loxl4
Matrisome-associated,ECM Regulators,LPA,Lpa
Matrisome-associated,ECM Regulators,MASP1,MasP1
Matrisome-associated,ECM Regulators,MASP2,MasP2
Matrisome-associated,ECM Regulators,MEP1A,Mep1a
Matrisome-associated,ECM Regulators,MEP1B,Mep1b
Matrisome-associated,ECM Regulators,MMP1,Mmp1
Matrisome-associated,ECM Regulators,MMP10,Mmp10
Matrisome-associated,ECM Regulators,MMP11,Mmp11
Matrisome-associated,ECM Regulators,MMP12,Mmp12
Matrisome-associated,ECM Regulators,MMP13,Mmp13
Matrisome-associated,ECM Regulators,MMP14,Mmp14
Matrisome-associated,ECM Regulators,MMP15,Mmp15
Matrisome-associated,ECM Regulators,MMP16,Mmp16
Matrisome-associated,ECM Regulators,MMP17,Mmp17
Matrisome-associated,ECM Regulators,MMP19,Mmp19
Matrisome-associated,ECM Regulators,MMP2,Mmp2
Matrisome-associated,ECM Regulators,MMP20,Mmp20
Matrisome-associated,ECM Regulators,MMP21,Mmp21
Matrisome-associated,ECM Regulators,MMP23B,Mmp23b
Matrisome-associated,ECM Regulators,MMP24,Mmp24
Matrisome-associated,ECM Regulators,MMP25,Mmp25
Matrisome-associated,ECM Regulators,MMP26,Mmp26
Matrisome-associated,ECM Regulators,MMP27,Mmp27
Matrisome-associated,ECM Regulators,MMP28,Mmp28
Matrisome-associated,ECM Regulators,MMP3,Mmp3
Matrisome-associated,ECM Regulators,MMP7,Mmp7
Matrisome-associated,ECM Regulators,MMP8,Mmp8
Matrisome-associated,ECM Regulators,MMP9,Mmp9
Matrisome-associated,ECM Regulators,NGLY1,Ngly1
Matrisome-associated,ECM Regulators,OGFOD1,Ogfod1
Matrisome-associated,ECM Regulators,OGFOD2,Ogfod2
Matrisome-associated,ECM Regulators,P4HA1,P4ha1
Matrisome-associated,ECM Regulators,P4HA2,P4ha2
Matrisome-associated,ECM Regulators,P4HA3,P4ha3
Matrisome-associated,ECM Regulators,P4HTM,P4htm
Matrisome-associated,ECM Regulators,PAMR1,Pamr1
Matrisome-associated,ECM Regulators,PAPPA,Pappa
Matrisome-associated,ECM Regulators,PAPPA2,Pappa2
Matrisome-associated,ECM Regulators,PCSK5,Pcsk5
Matrisome-associated,ECM Regulators,PCSK6,Pcsk6
Matrisome-associated,ECM Regulators,PI3,Pi3
Matrisome-associated,ECM Regulators,PLAT,Plat
Matrisome-associated,ECM Regulators,PLAU,Plau
Matrisome-associated,ECM Regulators,PLG,Plg
Matrisome-associated,ECM Regulators,PLOD1,Plod1
Matrisome-associated,ECM Regulators,PLOD2,Plod2
Matrisome-associated,ECM Regulators,PLOD3,Plod3
Matrisome-associated,ECM Regulators,PRSS1,Prss1
Matrisome-associated,ECM Regulators,PRSS12,Prss12
Matrisome-associated,ECM Regulators,PRSS2,Prss2
Matrisome-associated,ECM Regulators,PRSS3,Prss3
Matrisome-associated,ECM Regulators,PZP,Pzp
Matrisome-associated,ECM Regulators,SERPINA1,Serpina1
Matrisome-associated,ECM Regulators,SERPINA10,Serpina10
Matrisome-associated,ECM Regulators,SERPINA11,Serpina11
Matrisome-associated,ECM Regulators,SERPINA12,Serpina12
Matrisome-associated,ECM Regulators,SERPINA2,Serpina2
Matrisome-associated,ECM Regulators,SERPINA3,Serpina3
Matrisome-associated,ECM Regulators,SERPINA4,Serpina4
Matrisome-associated,ECM Regulators,SERPINA5,Serpina5
Matrisome-associated,ECM Regulators,SERPINA6,Serpina6
Matrisome-associated,ECM Regulators,SERPINA7,Serpina7
Matrisome-associated,ECM Regulators,SERPINA9,Serpina9
Matrisome-associated,ECM Regulators,SERPINB1,Serpinb1
Matrisome-associated,ECM Regulators,SERPINB10,Serpinb10
Matrisome-associated,ECM Regulators,SERPINB11,Serpinb11
Matrisome-associated,ECM Regulators,SERPINB12,Serpinb12
Matrisome-associated,ECM Regulators,SERPINB13,Serpinb13
Matrisome-associated,ECM Regulators,SERPINB2,Serpinb2
Matrisome-associated,ECM Regulators,SERPINB3,Serpinb3
Matrisome-associated,ECM Regulators,SERPINB4,Serpinb4
Matrisome-associated,ECM Regulators,SERPINB5,Serpinb5
Matrisome-associated,ECM Regulators,SERPINB6,Serpinb6
Matrisome-associated,ECM Regulators,SERPINB7,Serpinb7
Matrisome-associated,ECM Regulators,SERPINB8,Serpinb8
Matrisome-associated,ECM Regulators,SERPINB9,Serpinb9
Matrisome-associated,ECM Regulators,SERPINC1,Serpinc1
Matrisome-associated,ECM Regulators,SERPIND1,Serpind1
Matrisome-associated,ECM Regulators,SERPINE1,Serpine1
Matrisome-associated,ECM Regulators,SERPINE2,Serpine2
Matrisome-associated,ECM Regulators,SERPINE3,Serpine3
Matrisome-associated,ECM Regulators,SERPINF1,Serpinf1
Matrisome-associated,ECM Regulators,SERPINF2,Serpinf2
Matrisome-associated,ECM Regulators,SERPING1,Serping1
Matrisome-associated,ECM Regulators,SERPINH1,Serpinh1
Matrisome-associated,ECM Regulators,SERPINI1,Serpini1
Matrisome-associated,ECM Regulators,SERPINI2,Serpini2
Matrisome-associated,ECM Regulators,SLPI,Slpi
Matrisome-associated,ECM Regulators,SPAM1,Spam1
Matrisome-associated,ECM Regulators,ST14,St14
Matrisome-associated,ECM Regulators,SULF1,Sulf1
Matrisome-associated,ECM Regulators,SULF2,Sulf2
Matrisome-associated,ECM Regulators,TGM1,Tgm1
Matrisome-associated,ECM Regulators,TGM2,Tgm2
Matrisome-associated,ECM Regulators,TGM3,Tgm3
Matrisome-associated,ECM Regulators,TGM4,Tgm4
Matrisome-associated,ECM Regulators,TGM5,Tgm5
Matrisome-associated,ECM Regulators,TGM6,Tgm6
Matrisome-associated,ECM Regulators,TGM7,Tgm7
Matrisome-associated,ECM Regulators,TIMP1,Timp1
Matrisome-associated,ECM Regulators,TIMP2,Timp2
Matrisome-associated,ECM Regulators,TIMP3,Timp3
Matrisome-associated,ECM Regulators,TIMP4,Timp4
Matrisome-associated,ECM Regulators,TLL1,Tll1
Matrisome-associated,ECM Regulators,TLL2,Tll2
Matrisome-associated,ECM Regulators,TMPRSS15,Tmprss15
Matrisome-associated,Secreted Factors,AMH,Amh
Matrisome-associated,Secreted Factors,ANGPT1,Angpt1
Matrisome-associated,Secreted Factors,ANGPT2,Angpt2
Matrisome-associated,Secreted Factors,ANGPT4,Angpt4
Matrisome-associated,Secreted Factors,ANGPTL1,Angptl1
Matrisome-associated,Secreted Factors,ANGPTL2,Angptl2
Matrisome-associated,Secreted Factors,ANGPTL3,Angptl3
Matrisome-associated,Secreted Factors,ANGPTL4,Angptl4
Matrisome-associated,Secreted Factors,ANGPTL5,Angptl5
Matrisome-associated,Secreted Factors,ANGPTL6,Angptl6
Matrisome-associated,Secreted Factors,ANGPTL7,Angptl7
Matrisome-associated,Secreted Factors,AREG,Areg
Matrisome-associated,Secreted Factors,ARTN,Artn
Matrisome-associated,Secreted Factors,BDNF,Bdnf
Matrisome-associated,Secreted Factors,BMP10,Bmp10
Matrisome-associated,Secreted Factors,BMP15,Bmp15
Matrisome-associated,Secreted Factors,BMP2,Bmp2
Matrisome-associated,Secreted Factors,BMP3,Bmp3
Matrisome-associated,Secreted Factors,BMP4,Bmp4
Matrisome-associated,Secreted Factors,BMP5,Bmp5
Matrisome-associated,Secreted Factors,BMP6,Bmp6
Matrisome-associated,Secreted Factors,BMP7,Bmp7
Matrisome-associated,Secreted Factors,BMP8A,Bmp8a
Matrisome-associated,Secreted Factors,BMP8B,Bmp8b
Matrisome-associated,Secreted Factors,BRINP2,Brinp2
Matrisome-associated,Secreted Factors,BRINP3,Brinp3
Matrisome-associated,Secreted Factors,BTC,Btc
Matrisome-associated,Secreted Factors,C1QTNF9B,C1qtnf9b
Matrisome-associated,Secreted Factors,CBLN1,Cbln1
Matrisome-associated,Secreted Factors,CBLN2,Cbln2
Matrisome-associated,Secreted Factors,CBLN3,Cbln3
Matrisome-associated,Secreted Factors,CBLN4,Cbln4
Matrisome-associated,Secreted Factors,CCBE1,Ccbe1
Matrisome-associated,Secreted Factors,CCL1,Ccl1
Matrisome-associated,Secreted Factors,CCL11,Ccl11
Matrisome-associated,Secreted Factors,CCL13,Ccl13
Matrisome-associated,Secreted Factors,CCL14,Ccl14
Matrisome-associated,Secreted Factors,CCL15,Ccl15
Matrisome-associated,Secreted Factors,CCL16,Ccl16
Matrisome-associated,Secreted Factors,CCL17,Ccl17
Matrisome-associated,Secreted Factors,CCL18,Ccl18
Matrisome-associated,Secreted Factors,CCL19,Ccl19
Matrisome-associated,Secreted Factors,CCL2,Ccl2
Matrisome-associated,Secreted Factors,CCL20,Ccl20
Matrisome-associated,Secreted Factors,CCL21,Ccl21
Matrisome-associated,Secreted Factors,CCL22,Ccl22
Matrisome-associated,Secreted Factors,CCL23,Ccl23
Matrisome-associated,Secreted Factors,CCL24,Ccl24
Matrisome-associated,Secreted Factors,CCL25,Ccl25
Matrisome-associated,Secreted Factors,CCL26,Ccl26
Matrisome-associated,Secreted Factors,CCL27,Ccl27
Matrisome-associated,Secreted Factors,CCL28,Ccl28
Matrisome-associated,Secreted Factors,CCL3,Ccl3
Matrisome-associated,Secreted Factors,CCL3L3,Ccl3l3
Matrisome-associated,Secreted Factors,CCL4,Ccl4
Matrisome-associated,Secreted Factors,CCL4L1,Ccl4l1
Matrisome-associated,Secreted Factors,CCL4L2,Ccl4l2
Matrisome-associated,Secreted Factors,CCL5,Ccl5
Matrisome-associated,Secreted Factors,CCL7,Ccl7
Matrisome-associated,Secreted Factors,CCL8,Ccl8
Matrisome-associated,Secreted Factors,CFC1,Cfc1
Matrisome-associated,Secreted Factors,CFC1B,Cfc1b
Matrisome-associated,Secreted Factors,CHRD,Chrd
Matrisome-associated,Secreted Factors,CHRDL1,Chrdl1
Matrisome-associated,Secreted Factors,CHRDL2,Chrdl2
Matrisome-associated,Secreted Factors,CLCF1,Clcf1
Matrisome-associated,Secreted Factors,CNTF,Cntf
Matrisome-associated,Secreted Factors,CRHBP,Crhbp
Matrisome-associated,Secreted Factors,CRLF1,Crlf1
Matrisome-associated,Secreted Factors,CRLF3,Crlf3
Matrisome-associated,Secreted Factors,CRNN,Crnn
Matrisome-associated,Secreted Factors,CSF1,Csf1
Matrisome-associated,Secreted Factors,CSF2,Csf2
Matrisome-associated,Secreted Factors,CSF3,Csf3
Matrisome-associated,Secreted Factors,CSH1,Csh1
Matrisome-associated,Secreted Factors,CSH2,Csh2
Matrisome-associated,Secreted Factors,CSHL1,Cshl1
Matrisome-associated,Secreted Factors,CTF1,Ctf1
Matrisome-associated,Secreted Factors,CX3CL1,Cx3cl1
Matrisome-associated,Secreted Factors,CXCL1,Cxcl1
Matrisome-associated,Secreted Factors,CXCL10,Cxcl10
Matrisome-associated,Secreted Factors,CXCL11,Cxcl11
Matrisome-associated,Secreted Factors,CXCL12,Cxcl12
Matrisome-associated,Secreted Factors,CXCL13,Cxcl13
Matrisome-associated,Secreted Factors,CXCL14,Cxcl14
Matrisome-associated,Secreted Factors,CXCL2,Cxcl2
Matrisome-associated,Secreted Factors,CXCL3,Cxcl3
Matrisome-associated,Secreted Factors,CXCL5,Cxcl5
Matrisome-associated,Secreted Factors,CXCL6,Cxcl6
Matrisome-associated,Secreted Factors,CXCL8,Cxcl8
Matrisome-associated,Secreted Factors,CXCL9,Cxcl9
Matrisome-associated,Secreted Factors,DHH,Dhh
Matrisome-associated,Secreted Factors,EBI3,Ebi3
Matrisome-associated,Secreted Factors,EDA,Eda
Matrisome-associated,Secreted Factors,EGF,Egf
Matrisome-associated,Secreted Factors,EGFL6,Egfl6
Matrisome-associated,Secreted Factors,EGFL7,Egfl7
Matrisome-associated,Secreted Factors,EGFL8,Egfl8
Matrisome-associated,Secreted Factors,EPGN,EpgN
Matrisome-associated,Secreted Factors,EPO,Epo
Matrisome-associated,Secreted Factors,EREG,Ereg
Matrisome-associated,Secreted Factors,FASLG,Faslg
Matrisome-associated,Secreted Factors,FGF1,Fgf1
Matrisome-associated,Secreted Factors,FGF10,Fgf10
Matrisome-associated,Secreted Factors,FGF11,Fgf11
Matrisome-associated,Secreted Factors,FGF12,Fgf12
Matrisome-associated,Secreted Factors,FGF13,Fgf13
Matrisome-associated,Secreted Factors,FGF14,Fgf14
Matrisome-associated,Secreted Factors,FGF16,Fgf16
Matrisome-associated,Secreted Factors,FGF17,Fgf17
Matrisome-associated,Secreted Factors,FGF18,Fgf18
Matrisome-associated,Secreted Factors,FGF19,Fgf19
Matrisome-associated,Secreted Factors,FGF2,Fgf2
Matrisome-associated,Secreted Factors,FGF20,Fgf20
Matrisome-associated,Secreted Factors,FGF21,Fgf21
Matrisome-associated,Secreted Factors,FGF22,Fgf22
Matrisome-associated,Secreted Factors,FGF23,Fgf23
Matrisome-associated,Secreted Factors,FGF3,Fgf3
Matrisome-associated,Secreted Factors,FGF4,Fgf4
Matrisome-associated,Secreted Factors,FGF5,Fgf5
Matrisome-associated,Secreted Factors,FGF6,Fgf6
Matrisome-associated,Secreted Factors,FGF7,Fgf7
Matrisome-associated,Secreted Factors,FGF8,Fgf8
Matrisome-associated,Secreted Factors,FGF9,Fgf9
Matrisome-associated,Secreted Factors,FGFBP1,Fgfbp1
Matrisome-associated,Secreted Factors,FGFBP2,Fgfbp2
Matrisome-associated,Secreted Factors,FGFBP3,Fgfbp3
Matrisome-associated,Secreted Factors,FIGF,Figf
Matrisome-associated,Secreted Factors,FLG,Flg
Matrisome-associated,Secreted Factors,FLG2,Flg2
Matrisome-associated,Secreted Factors,FLT3LG,Flt3lg
Matrisome-associated,Secreted Factors,FRZB,Frzb
Matrisome-associated,Secreted Factors,FST,Fst
Matrisome-associated,Secreted Factors,FSTL1,Fstl1
Matrisome-associated,Secreted Factors,FSTL3,Fstl3
Matrisome-associated,Secreted Factors,GDF1,Gdf1
Matrisome-associated,Secreted Factors,GDF10,Gdf10
Matrisome-associated,Secreted Factors,GDF11,Gdf11
Matrisome-associated,Secreted Factors,GDF15,Gdf15
Matrisome-associated,Secreted Factors,GDF2,Gdf2
Matrisome-associated,Secreted Factors,GDF3,Gdf3
Matrisome-associated,Secreted Factors,GDF5,Gdf5
Matrisome-associated,Secreted Factors,GDF6,Gdf6
Matrisome-associated,Secreted Factors,GDF7,Gdf7
Matrisome-associated,Secreted Factors,GDF9,Gdf9
Matrisome-associated,Secreted Factors,GDNF,Gdnf
Matrisome-associated,Secreted Factors,GH1,Gh1
Matrisome-associated,Secreted Factors,GH2,Gh2
Matrisome-associated,Secreted Factors,HBEGF,HbEgf
Matrisome-associated,Secreted Factors,HCFC1,Hcfc1
Matrisome-associated,Secreted Factors,HCFC2,Hcfc2
Matrisome-associated,Secreted Factors,HGF,Hgf
Matrisome-associated,Secreted Factors,HGFAC,Hgfac
Matrisome-associated,Secreted Factors,HHIP,Hhip
Matrisome-associated,Secreted Factors,HRNR,Hrnr
Matrisome-associated,Secreted Factors,IFNA1,Ifna1
Matrisome-associated,Secreted Factors,IFNA10,Ifna10
Matrisome-associated,Secreted Factors,IFNA13,Ifna13
Matrisome-associated,Secreted Factors,IFNA14,Ifna14
Matrisome-associated,Secreted Factors,IFNA16,Ifna16
Matrisome-associated,Secreted Factors,IFNA17,Ifna17
Matrisome-associated,Secreted Factors,IFNA2,Ifna2
Matrisome-associated,Secreted Factors,IFNA21,Ifna21
Matrisome-associated,Secreted Factors,IFNA4,Ifna4
Matrisome-associated,Secreted Factors,IFNA5,Ifna5
Matrisome-associated,Secreted Factors,IFNA6,Ifna6
Matrisome-associated,Secreted Factors,IFNA7,Ifna7
Matrisome-associated,Secreted Factors,IFNA8,Ifna8
Matrisome-associated,Secreted Factors,IFNB1,Ifnb1
Matrisome-associated,Secreted Factors,IFNE,Ifne
Matrisome-associated,Secreted Factors,IFNG,Ifng
Matrisome-associated,Secreted Factors,IFNK,Ifnk
Matrisome-associated,Secreted Factors,IFNW1,Ifnw1
Matrisome-associated,Secreted Factors,IGF1,Igf1
Matrisome-associated,Secreted Factors,IGF2,Igf2
Matrisome-associated,Secreted Factors,IHH,Ihh
Matrisome-associated,Secreted Factors,IL10,Il10
Matrisome-associated,Secreted Factors,IL11,Il11
Matrisome-associated,Secreted Factors,IL12A,Il12a
Matrisome-associated,Secreted Factors,IL12B,Il12b
Matrisome-associated,Secreted Factors,IL13,Il13
Matrisome-associated,Secreted Factors,IL15,Il15
Matrisome-associated,Secreted Factors,IL16,Il16
Matrisome-associated,Secreted Factors,IL17A,Il17a
Matrisome-associated,Secreted Factors,IL17B,Il17b
Matrisome-associated,Secreted Factors,IL17C,Il17c
Matrisome-associated,Secreted Factors,IL17D,Il17d
Matrisome-associated,Secreted Factors,IL17F,Il17f
Matrisome-associated,Secreted Factors,IL18,Il18
Matrisome-associated,Secreted Factors,IL19,Il19
Matrisome-associated,Secreted Factors,IL1A,Il1a
Matrisome-associated,Secreted Factors,IL1B,Il1b
Matrisome-associated,Secreted Factors,IL1F10,Il1f10
Matrisome-associated,Secreted Factors,IL1F5,Il1f5
Matrisome-associated,Secreted Factors,IL1F6,Il1f6
Matrisome-associated,Secreted Factors,IL1F7,Il1f7
Matrisome-associated,Secreted Factors,IL1F8,Il1f8
Matrisome-associated,Secreted Factors,IL1F9,Il1f9
Matrisome-associated,Secreted Factors,IL1RN,Il1rn
Matrisome-associated,Secreted Factors,IL2,Il2
Matrisome-associated,Secreted Factors,IL20,Il20
Matrisome-associated,Secreted Factors,IL22,Il22
Matrisome-associated,Secreted Factors,IL23A,Il23a
Matrisome-associated,Secreted Factors,IL24,Il24
Matrisome-associated,Secreted Factors,IL25,Il25
Matrisome-associated,Secreted Factors,IL26,Il26
Matrisome-associated,Secreted Factors,IL3,Il3
Matrisome-associated,Secreted Factors,IL34,Il34
Matrisome-associated,Secreted Factors,IL4,Il4
Matrisome-associated,Secreted Factors,IL5,Il5
Matrisome-associated,Secreted Factors,IL6,Il6
Matrisome-associated,Secreted Factors,IL7,Il7
Matrisome-associated,Secreted Factors,IL9,Il9
Matrisome-associated,Secreted Factors,INHA,Inha
Matrisome-associated,Secreted Factors,INHBA,Inhba
Matrisome-associated,Secreted Factors,INHBB,Inhbb
Matrisome-associated,Secreted Factors,INHBC,Inhbc
Matrisome-associated,Secreted Factors,INHBE,Inhbe
Matrisome-associated,Secreted Factors,INS,Ins
Matrisome-associated,Secreted Factors,INS-IGF2,Ins-Igf2
Matrisome-associated,Secreted Factors,INSL3,Insl3
Matrisome-associated,Secreted Factors,INSL5,Insl5
Matrisome-associated,Secreted Factors,INSL6,Insl6
Matrisome-associated,Secreted Factors,ISM1,Ism1
Matrisome-associated,Secreted Factors,ISM2,Ism2
Matrisome-associated,Secreted Factors,KITLG,Kitlg
Matrisome-associated,Secreted Factors,LEFTY1,Lefty1
Matrisome-associated,Secreted Factors,LEFTY2,Lefty2
Matrisome-associated,Secreted Factors,LEP,Lep
Matrisome-associated,Secreted Factors,LIF,Lif
Matrisome-associated,Secreted Factors,LTA,Lta
Matrisome-associated,Secreted Factors,LTB,Ltb
Matrisome-associated,Secreted Factors,MDK,Mdk
Matrisome-associated,Secreted Factors,MEGF10,Megf10
Matrisome-associated,Secreted Factors,MEGF11,Megf11
Matrisome-associated,Secreted Factors,MEGF6,Megf6
Matrisome-associated,Secreted Factors,MEGF8,Megf8
Matrisome-associated,Secreted Factors,MEGF9,Megf9
Matrisome-associated,Secreted Factors,MST1,Mst1
Matrisome-associated,Secreted Factors,MST1L,Mst1l
Matrisome-associated,Secreted Factors,MSTN,Mstn
Matrisome-associated,Secreted Factors,NGF,Ngf
Matrisome-associated,Secreted Factors,NODAL,Nodal
Matrisome-associated,Secreted Factors,NRG1,Nrg1
Matrisome-associated,Secreted Factors,NRG2,Nrg2
Matrisome-associated,Secreted Factors,NRG3,Nrg3
Matrisome-associated,Secreted Factors,NRG4,Nrg4
Matrisome-associated,Secreted Factors,NRTN,NrtN
Matrisome-associated,Secreted Factors,NTF3,Ntf3
Matrisome-associated,Secreted Factors,NTF4,Ntf4
Matrisome-associated,Secreted Factors,OSM,Osm
Matrisome-associated,Secreted Factors,PDGFA,Pdgfa
Matrisome-associated,Secreted Factors,PDGFB,Pdgfb
Matrisome-associated,Secreted Factors,PDGFC,Pdgfc
Matrisome-associated,Secreted Factors,PDGFD,Pdgfd
Matrisome-associated,Secreted Factors,PF4,Pf4
Matrisome-associated,Secreted Factors,PF4V1,Pf4v1
Matrisome-associated,Secreted Factors,PGF,Pgf
Matrisome-associated,Secreted Factors,PIK3IP1,Pik3ip1
Matrisome-associated,Secreted Factors,PPBP,Ppbp
Matrisome-associated,Secreted Factors,PRL,Prl
Matrisome-associated,Secreted Factors,PSPN,Pspn
Matrisome-associated,Secreted Factors,PTN,Ptn
Matrisome-associated,Secreted Factors,RPTN,Rptn
Matrisome-associated,Secreted Factors,S100A1,S100a1
Matrisome-associated,Secreted Factors,S100A10,S100a10
Matrisome-associated,Secreted Factors,S100A11,S100a11
Matrisome-associated,Secreted Factors,S100A12,S100a12
Matrisome-associated,Secreted Factors,S100A13,S100a13
Matrisome-associated,Secreted Factors,S100A14,S100a14
Matrisome-associated,Secreted Factors,S100A16,S100a16
Matrisome-associated,Secreted Factors,S100A2,S100a2
Matrisome-associated,Secreted Factors,S100A3,S100a3
Matrisome-associated,Secreted Factors,S100A4,S100a4
Matrisome-associated,Secreted Factors,S100A5,S100a5
Matrisome-associated,Secreted Factors,S100A6,S100a6
Matrisome-associated,Secreted Factors,S100A7,S100a7
Matrisome-associated,Secreted Factors,S100A7A,S100a7a
Matrisome-associated,Secreted Factors,S100A7L2,S100a7l2
Matrisome-associated,Secreted Factors,S100A8,S100a8
Matrisome-associated,Secreted Factors,S100A9,S100a9
Matrisome-associated,Secreted Factors,S100B,S100b
Matrisome-associated,Secreted Factors,S100G,S100g
Matrisome-associated,Secreted Factors,S100P,S100p
Matrisome-associated,Secreted Factors,S100Z,S100z
Matrisome-associated,Secreted Factors,SCUBE1,Scube1
Matrisome-associated,Secreted Factors,SCUBE2,Scube2
Matrisome-associated,Secreted Factors,SCUBE3,Scube3
Matrisome-associated,Secreted Factors,SFRP1,Sfrp1
Matrisome-associated,Secreted Factors,SFRP2,Sfrp2
Matrisome-associated,Secreted Factors,SFRP4,Sfrp4
Matrisome-associated,Secreted Factors,SFRP5,Sfrp5
Matrisome-associated,Secreted Factors,SHH,Shh
Matrisome-associated,Secreted Factors,TCHH,Tchh
Matrisome-associated,Secreted Factors,TCHHL1,Tchhl1
Matrisome-associated,Secreted Factors,TDGF1,Tdgf1
Matrisome-associated,Secreted Factors,TGFA,Tgfa
Matrisome-associated,Secreted Factors,TGFB1,Tgfb1
Matrisome-associated,Secreted Factors,TGFB2,Tgfb2
Matrisome-associated,Secreted Factors,TGFB3,Tgfb3
Matrisome-associated,Secreted Factors,THPO,Thpo
Matrisome-associated,Secreted Factors,TNF,Tnf
Matrisome-associated,Secreted Factors,TNFSF10,Tnfsf10
Matrisome-associated,Secreted Factors,TNFSF11,Tnfsf11
Matrisome-associated,Secreted Factors,TNFSF12,Tnfsf12
Matrisome-associated,Secreted Factors,TNFSF13,Tnfsf13
Matrisome-associated,Secreted Factors,TNFSF13B,Tnfsf13b
Matrisome-associated,Secreted Factors,TNFSF14,Tnfsf14
Matrisome-associated,Secreted Factors,TNFSF15,Tnfsf15
Matrisome-associated,Secreted Factors,TNFSF18,Tnfsf18
Matrisome-associated,Secreted Factors,TNFSF4,Tnfsf4
Matrisome-associated,Secreted Factors,TNFSF8,Tnfsf8
Matrisome-associated,Secreted Factors,TNFSF9,Tnfsf9
Matrisome-associated,Secreted Factors,TPO,Tpo
Matrisome-associated,Secreted Factors,VEGFA,Vegfa
Matrisome-associated,Secreted Factors,VEGFB,Vegfb
Matrisome-associated,Secreted Factors,VEGFC,Vegfc
Matrisome-associated,Secreted Factors,VWC2,Vwc2
Matrisome-associated,Secreted Factors,VWC2L,Vwc2l
Matrisome-associated,Secreted Factors,WFIKKN1,Wfikkn1
Matrisome-associated,Secreted Factors,WFIKKN2,Wfikkn2
Matrisome-associated,Secreted Factors,WIF1,Wif1
Matrisome-associated,Secreted Factors,WNT1,Wnt1
Matrisome-associated,Secreted Factors,WNT10A,Wnt10a
Matrisome-associated,Secreted Factors,WNT10B,Wnt10b
Matrisome-associated,Secreted Factors,WNT11,Wnt11
Matrisome-associated,Secreted Factors,WNT16,Wnt16
Matrisome-associated,Secreted Factors,WNT2,Wnt2
Matrisome-associated,Secreted Factors,WNT2B,Wnt2b
Matrisome-associated,Secreted Factors,WNT3,Wnt3
Matrisome-associated,Secreted Factors,WNT3A,Wnt3a
Matrisome-associated,Secreted Factors,WNT4,Wnt4
Matrisome-associated,Secreted Factors,WNT5A,Wnt5a
Matrisome-associated,Secreted Factors,WNT5B,Wnt5b
Matrisome-associated,Secreted Factors,WNT6,Wnt6
Matrisome-associated,Secreted Factors,WNT7A,Wnt7a
Matrisome-associated,Secreted Factors,WNT7B,Wnt7b
Matrisome-associated,Secreted Factors,WNT8A,Wnt8a
Matrisome-associated,Secreted Factors,WNT8B,Wnt8b
Matrisome-associated,Secreted Factors,WNT9A,Wnt9a
Matrisome-associated,Secreted Factors,WNT9B,Wnt9b
Matrisome-associated,Secreted Factors,XCL1,Xcl1
Matrisome-associated,Secreted Factors,XCL2,Xcl2
Matrisome-associated,Secreted Factors,ZFP91,Zfp91
